"sourcecountry","targetcountry","searchratio"
"AT","BE",2
"AT","BG",3
"AT","CH",4
"AT","CY",5
"AT","CZ",3
"AT","DE",5
"AT","DK",2
"AT","EE",1
"AT","ES",3
"AT","FI",2
"AT","FR",4
"AT","GB",3
"AT","GR",4
"AT","HR",12
"AT","HU",3
"AT","IE",5
"AT","IT",6
"AT","LT",1
"AT","LU",2
"AT","LV",2
"AT","MT",5
"AT","NL",3
"AT","NO",3
"AT","PL",2
"AT","PT",3
"AT","RO",3
"AT","SE",3
"AT","SI",4
"AT","SK",2
"BE","AT",3
"BE","BG",3
"BE","CH",4
"BE","CY",5
"BE","CZ",0
"BE","DE",5
"BE","DK",3
"BE","EE",1
"BE","ES",6
"BE","FI",2
"BE","FR",9
"BE","GB",4
"BE","GR",3
"BE","HR",4
"BE","HU",2
"BE","IE",3
"BE","IT",7
"BE","LT",1
"BE","LU",5
"BE","LV",2
"BE","MT",6
"BE","NL",6
"BE","NO",3
"BE","PL",3
"BE","PT",4
"BE","RO",2
"BE","SE",2
"BE","SI",1
"BE","SK",1
"BG","AT",3
"BG","BE",3
"BG","CH",6
"BG","CY",4
"BG","CZ",0
"BG","DE",7
"BG","DK",3
"BG","EE",1
"BG","ES",4
"BG","FI",2
"BG","FR",4
"BG","GB",6
"BG","GR",8
"BG","HR",3
"BG","HU",3
"BG","IE",2
"BG","IT",5
"BG","LT",1
"BG","LU",2
"BG","LV",1
"BG","MT",5
"BG","NL",4
"BG","NO",4
"BG","PL",2
"BG","PT",2
"BG","RO",4
"BG","SE",4
"BG","SI",2
"BG","SK",1
"CH","AT",4
"CH","BE",2
"CH","BG",2
"CH","CY",6
"CH","CZ",1
"CH","DE",6
"CH","DK",2
"CH","EE",1
"CH","ES",5
"CH","FI",3
"CH","FR",6
"CH","GB",4
"CH","GR",4
"CH","HR",6
"CH","HU",2
"CH","IE",5
"CH","IT",8
"CH","LT",1
"CH","LU",3
"CH","LV",1
"CH","MT",5
"CH","NL",3
"CH","NO",3
"CH","PL",2
"CH","PT",5
"CH","RO",2
"CH","SE",4
"CH","SI",2
"CH","SK",1
"CY","AT",3
"CY","BE",3
"CY","BG",3
"CY","CH",5
"CY","CZ",0
"CY","DE",4
"CY","DK",3
"CY","EE",1
"CY","ES",4
"CY","FI",2
"CY","FR",5
"CY","GB",6
"CY","GR",7
"CY","HR",3
"CY","HU",2
"CY","IE",3
"CY","IT",5
"CY","LT",3
"CY","LU",3
"CY","LV",3
"CY","MT",6
